LABEL,QUEUE,en-US,fr-CA
M1,Moves,"For information about the Ministry’s products, services and online forms, visit ontario.ca/mto and select the Trucks, Drivers or Vehicles menu.
For the C V O R Program, press 1.  For Oversize/Overweight Permits, press 2. For the M V I S Program and Vehicle Branding, press 3. For the Safety Standards Inspection Complaint Line, press 4. For all other inquiries, press 5. If, at any time during this call you would like to hear a message repeated, press star. ","Pour des renseignements sur les produits, les services et les formulaires en ligne du Ministère, rendez-vous à ontario.ca/mto, puis sélectionnez le menu Conducteurs, Véhicules ou Camions.
Pour le programme d’immatriculation d’utilisateur de véhicule utilitaire, ou immatriculation IUVU, faites le 1.
Pour les permis pour les véhicules ou charges de dimensions ou de poids exceptionnels, faites le 2.
Pour le programme des centres d’inspection des véhicules automobiles, ou CIVA, ou le contrôle des véhicules, faites le 3.
Pour formuler une plainte sur une inspection, faites le 4.
Pour toute autre question, faites le 5.
Si, à tout moment durant cet appel, vous souhaitez ré-entendre un 
message, appuyez sur l’étoile."
M10,Moves,,
M11,Moves,"For information about the C V O R Program, and to download application forms, please visit ontario.ca/C V O R. You can also e-mail C V O R@ontario.ca with your inquiry. To apply for a new C V O R, press 1. If you are an existing C V O R-holder, or are interested in re-entering the program, press 2. Please have your C V O R number ready. To repeat this message, press star. To return to the previous menu, press 9. ","Pour des renseignements sur le programme d’immatriculation IUVU et pour en télécharger les formulaires de demande, rendez-vous à ontario.ca/IUVU. Vous pouvez aussi écrire à C V O R@ontario.ca.
Pour faire une nouvelle demande d’immatriculation IUVU, faites le 1. 
Si vous détenez ou avez déjà détenu une immatriculation IUVU, faites le 2.
Ayez en main votre numéro d’immatriculation IUVU.
Pour ré-entendre ce message, faites l’étoile. Pour revenir au menu précédent, faites le 9."
M111,Moves,"For assistance with the C V O R online service, press 1. For information about the C V O R Program, including vehicle eligibility and how to apply, press 2. To repeat this message, press star. To return to the previous menu, press 9.","Pour de l’aide avec le service d’immatriculation IUVU en ligne, faites le 1.
Pour des renseignements sur le programme d’immatriculation IUVU, y compris l’admissibilité des véhicules et le processus de demande, faites le 2.
Pour ré-entendre ce message, faites l’étoile. Pour revenir au menu précédent, faites le 9."
M1111,Moves,"For assistance with your One-Key account, please call ServiceOntario at 1-800-267-8097. 
For enrollment or navigation assistance with the C V O R online service, refer to the step-by-step guides available on the welcome page once you log into your online account.  
To speak to a representative, press 0.
To repeat this message, press star. To return to the previous menu, press 9.","Pour de l’aide avec votre compte ONe-key, appelez ServiceOntario au 1 800 267-8097.
Pour de l’aide avec l’inscription ou la navigation dans le service d’immatriculation IUVU, connectez-vous à votre compte et consultez les guides étape par étape fournis sur la page d’accueil.
Pour parler à un préposé, faites le 0.
Pour ré-entendre ce message, faites l’étoile. Pour revenir au menu précédent, faites le 9."
M11111,Moves,That is an invalid entry. Please press 9 to return to the previous menu.,Cette commande n’est pas valide. Faites le 9 pour revenir au menu précédent.
M11112,Moves,That is an invalid entry. Please press 9 to return to the previous menu.,Cette commande n’est pas valide. Faites le 9 pour revenir au menu précédent.
M1112,Moves,"To determine your vehicle’s C V O R eligibility, refer to the Commercial Vehicle Operator’s Safety Manual available at ontario.ca/C V O R.
To apply for a new C V O R online, please register with One-Key at one-key.gov.on.ca to gain access to the C V O R online service where applications can be submitted. New C V O R applications are also available under the “Forms” heading at ontario.ca/C V O R. 
Applicants may be required to complete a written knowledge test as part of the application process.  
To speak to a representative, press 0.
To repeat this message, press star. To return to the previous menu, press 9","Pour savoir si votre véhicule est admissible à l’immatriculation IUVU, consultez le Manuel de sécurité des utilisateurs de véhicules utilitaires à ontario.ca/IUVU.
Pour faire une nouvelle demande d’immatriculation IUVU en ligne, inscrivez-vous à one-key.gov.on.ca avec votre ID ONe-key. Vous pouvez aussi faire une nouvelle demande d’immatriculation IUVU dans la section Formulaires à ontario.ca/IUVU.
Le processus de demande peut comporter un examen théorique.
Pour parler à un préposé, faites le 0.
Pour ré-entendre ce message, faites l’étoile. Pour revenir au menu précédent, faites le 9."
M112,Moves,"Please have your C V O R number ready. 
For assistance with the C V O R online service, press 1.
For inquiries about renewing or updating your C V O R, press 2. 
For inquiries about your safety record, press 3. 
For inquiries about C V O R abstract purchases, press 4. 
To repeat this message, press star. To return to the previous menu, press 9.","Ayez en main votre numéro d’immatriculation IUVU.
Pour de l’aide avec le service d’immatriculation IUVU en ligne, faites le 1.
Pour des questions sur le renouvellement ou la mise à jour de votre immatriculation IUVU, faites le 2.
Pour des questions sur votre bilan de sécurité, faites le 3.
Pour des questions sur l’achat de dossier de conducteur de véhicule utilitaire, faites le 4.
Pour ré-entendre ce message, faites l’étoile. Pour revenir au menu précédent, faites le 9."
M1121,Moves,"For assistance with your One-Key account, please call ServiceOntario at 1-800-267-8097. 
For navigation assistance with the C V O R online service, refer to the step-by-step guides available on the welcome page once you log in to your online account.  
To speak to a representative, press 0.
To repeat this message, press star. To return to the previous menu, press 9.","Pour de l’aide avec votre compte ONe-key, appelez ServiceOntario au 1 800 267-8097.
Pour de l’aide à la navigation dans le service d’immatriculation IUVU, connectez-vous à votre compte et consultez les guides étape par étape fournis sur la page d’accueil.
Pour parler à un préposé, faites le 0.
Pour ré-entendre ce message, faites l’étoile. Pour revenir au menu précédent, faites le 9."
